FileName,FileExtension,Caption
Basile-20080307_02,jpg,Vaulted entry with log staircase (modified Pinecrest)
Basile-20080307_09,jpg,Dining room (modified Pinecrest)
Basile-20080307_15,jpg,Dining room (modified Pinecrest)
Basile-20080307_18,jpg,Loft  (modified Pinecrest)
Basile-20080307_24,jpg,Upper bedroom (modified Pinecrest)
Basile-20080307_52,jpg,Master bathroom (modified Pinecrest)
Basile-20080307_92,jpg,Dining room and loft (modified Pinecrest)
Branson-20070121_244,jpg,Kitchen (modified Victoria)
Branson-20070121_245,jpg,Log stairway (modified Victoria)
Horn-20070416_368,jpg,Master bathroom (modified Westbury)
Horn-20070416_370r,jpg,Master bathroom (modified Westbury)
Horn-20070416_378,jpg,Log stairway (modified Westbury)
Horn-20070416_410,jpg,Kitchen (modified Westbury)
Horn-ARCD-6329,jpg,Great Room (modified Westbury)
Horn-ARCD-6330,jpg,Dining room (modified Westbury)
Horn-ARCD-6331,jpg,Dining room and kitchen (modified Westbury)
Horn-ARCD-6332,jpg,Master bedroom (modified Westbury)
Horn-ARCD-6333,jpg,Master bathroom (modified Westbury)
Horn-ARCD-6334,jpg,Entry foyer (modified Westbury)
Horn-ARCD-6335,jpg,Upstairs study (modified Westbury)
Horn-ARCD-6336,jpg,Loft (modified Westbury)
Horn-ARCD-6337,jpg,Bar (modified Westbury)
Horn-ARCD-6338,jpg,Basement family room (modified Westbury)
Horn-ARCD-6339,jpg,Basement bedroom (modified Westbury)
Jencks-200710_04,jpg,Kitchen (modified Westbury)
Jencks-200710_27,jpg,Custom carved wood entry doors
Lemay-20090701_030,jpg,Log staircase with custom iron railings
Lemay-20090701_031,jpg,Upper walkway with custom iron railings
Lemay-20090701_034,jpg,Upstairs bathroom mirrors mounted on log purlin
Lemay-20090701_035,jpg,Upstairs bathroom (modified Westbury)
Lemay-20090701_036,jpg,Upstairs bathroom (modified Westbury)
Lemay-20090701_039,jpg,Great room from loft (modified Westbury)
Lemay-20090701_040,jpg,Three storey log staircase looking up
McKenzie-20081231_384,jpg,Pendant lamps hang over staircase
McKenzie-20091129_016,jpg,Kitchen and dining area (modified Blue Ridge)
McKenzie-20091129_018,jpg,Fireplace separates living and kitchen (modified Blue Ridge)
McKenzie-20091129_022,jpg,Kitchen (modified Blue Ridge)
McKenzie-20091129_023r,jpg,Great room from dining (modified Blue Ridge)
McKenzie-20091129_026,jpg,Entry foyer (modified Blue Ridge)
McKenzie-20091129_028r,jpg,Lake front view (modified Blue Ridge)
Sprinkle004,jpg,Kitchen in a post and beam log home
