int-24,jpg,Dining and Kitchen
int-20,jpg,Looking towards Great Room from Foyer
int-21,jpg,"Foyer, with log stairway"
int-22,jpg,Great Room
int-23,jpg,Looking towards Foyer from Great Room
int-25,jpg,Looking towards Great Room from Dining
int-26,jpg,Kitchen
int-27,jpg,Kitchen
int-28,jpg,Kitchen
int-29,jpg,Dining Room
int-30,jpg,Loking towards bedrooms from Great Room
int-32,jpg,Loft at top of stairway
int-33,jpg,"Ceiling over Foyer, seen from Loft"
int-34,jpg,Office/Library (upper floor)
int-35,jpg,Looking towards Loft from Office/Library
int-36,jpg,Looking down into Great Room from Loft
int-37,jpg,Master Bedroom
int-38,jpg,Master Bedroom
int-39,jpg,Master Bathroom
int-40,jpg,Master Bathroom
