title,fileName,extension,text
#project,Horn,,Horn Residence
#photos,,,Finished Home (top 2 rows: photos by Roger Wade)
Finished,ARCD-6329,jpg,Living room
,ARCD-6330,jpg,Vaulted nook
,ARCD-6331,jpg,Kitchen
,ARCD-6332,jpg,Master bedroom
,ARCD-6333,jpg,Master bathroom
,ARCD-6334,jpg,Entry foyer
,ARCD-6335,jpg,Office
,ARCD-6336,jpg,Loft
,ARCD-6337,jpg,Family room
,ARCD-6338,jpg,Family room
,ARCD-6339,jpg,Lower floor bedroom
,ARCD-6340,jpg,Right front view
,ARCD-6341,jpg,Right front view
,ARCD-6342,jpg,Front entry view
,ARCD-6343,jpg,Front side view
,ARCD-6344,jpg,Front view
,ARCD-6345,jpg,Front view
,ARCD-6346,jpg,Rear view from across the lake
,ARCD-6347,jpg,Rear view from across the lake
,ARCD-6348,jpg,Rear view from across the lake
 May 16 exterior,20070516_002,jpg,Exterior view of finished house
,20070516_007,jpg,Exterior view of finished house
,20070516_012,jpg,Exterior view of finished house
,20070516_020,jpg,Exterior view of finished house
,20070516_113,jpg,Exterior view of finished house
,20070516_145,jpg,Exterior view of finished house
,20070516_150,jpg,Exterior view of finished house
,20070516_154,jpg,Exterior view of finished house
,20070516_162,jpg,Exterior view of finished house
,20070516_166,jpg,Exterior view of finished house
 May 16 interior,20070516_023,jpg,Interior view of finished house
,20070516_025,jpg,Interior view of finished house
,20070516_030,jpg,Interior view of finished house
,20070516_041,jpg,Interior view of finished house
,20070516_050,jpg,Interior view of finished house
,20070516_051,jpg,Interior view of finished house
,20070516_053,jpg,Interior view of finished house
,20070516_059,jpg,Interior view of finished house
,20070516_062,jpg,Interior view of finished house
,20070516_068,jpg,Interior view of finished house
,20070516_072,jpg,Interior view of finished house
,20070516_077,jpg,Interior view of finished house
,20070516_085,jpg,Interior view of finished house
,20070516_086,jpg,Interior view of finished house
,20070516_092,jpg,Interior view of finished house
,20070516_103,jpg,Interior view of finished house
,20070516_110,jpg,Interior view of finished house
,20070516_124,jpg,Interior view of finished house
,20070516_137,jpg,Interior view of finished house
,20070516_141,jpg,Interior view of finished house
#photos,,,Framing and Finishing on the Site
 April 16 exterior,20070416_414,jpg,Exterior view of finished house
,20070416_420,jpg,Exterior view of finished house
,20070417_431,jpg,Exterior view of finished house
,20070417_435,jpg,Exterior view of finished house
,20070417_437,jpg,Exterior view of finished house
,20070417_442,jpg,Exterior view of finished house
,20070417_444,jpg,Exterior view of finished house
,20070417_445,jpg,Exterior view of finished house
,20070417_446,jpg,Exterior view of finished house
,20070417_451,jpg,Exterior view of finished house
,20070417_455,jpg,Exterior view of finished house
,20070417_456,jpg,Exterior view of finished house
,20070417_460,jpg,Exterior view of finished house
 April 16 interior,20070416_367,jpg,Interior view of finished house
,20070416_369,jpg,Interior view of finished house
,20070416_372,jpg,Interior view of finished house
,20070416_373,jpg,Interior view of finished house
,20070416_375,jpg,Interior view of finished house
,20070416_378,jpg,Interior view of finished house
,20070416_385,jpg,Interior view of finished house
,20070416_387,jpg,Interior view of finished house
,20070416_390,jpg,Interior view of finished house
,20070416_393,jpg,Interior view of finished house
,20070416_395,jpg,Interior view of finished house
,20070416_400,jpg,Interior view of finished house
,20070416_404,jpg,Interior view of finished house
,20070416_408,jpg,Interior view of finished house
,20070416_410,jpg,Interior view of finished house
 Sept. 4,20060904_5,jpg,View of house from below
,20060904_6,jpg,View of house from below
,20060904_7,jpg,View of house from below
#photos,,,Hand Crafting the Log Shell in our Log Yard
 Feb. 23,20060223_04,jpg,Crafting log beams
,20060223_06,jpg,Crafting log beams
,20060223_07,jpg,Crafting log beams
,20060223_08,jpg,Crafting log beams
,20060223_09,jpg,Crafting log beams
,20060223_10,jpg,Crafting log beams
,20060223_11,jpg,Crafting log beams
,20060223_14,jpg,Crafting log beams
,20060223_15,jpg,Crafting log beams
,20060223_16,jpg,Crafting log beams
,20060223_17,jpg,Crafting log beams
#elevations,,,Elevations
,Horn-elevations,gif,Elevations
#plans,,,Floor Plans
,Horn-plans,gif,Floor Plans
